Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\PCB_DesignProjects\PCB_Projects\Board 3\Project Outputs for Board 3\Pick Place for brd3_layout.csv

========================================================================================================================
File Design Information:

Date:       06/03/25
Time:       16:15
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"Y2","X322516MLB4SI","TopLayer","Crystal_resonator","1428.032","465.000","270","±10ppm 16000000Hz -40?~85? ?????? 60O 9pF SMD3225-4P Crystals ROHS"
"U2","ATMEGA328P-ANR","TopLayer","ATMega328P","1150.000","810.000","270","AVR AVR® ATmega Microcontroller IC 8-Bit 20MHz 32KB (16K x 16) FLASH 32-TQFP (7x7)"
"U1","CH340G","TopLayer","USB_to_serial","1655.000","2980.000","0","Transceiver USB 2.0 2Mbps SOP-16_150mil USB ICs RoHS"
"R4","1k","TopLayer","1206_Passive_Resitor","1035.000","2590.000","90","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R3","1k","TopLayer","1206_Passive_Resitor","1290.000","2580.000","270","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"PS1","AMS1117-3.3","TopLayer","LDO","1054.079","3608.000","270","LOW DROPOUT REGULATORS(LDO) POSITIVE FIXED 1.3V @ 800MA 15V 3.3V 1A SOT-223 ROHS"
"P1","Power Jack","TopLayer","Power_Jack","164.464","3448.890","90","Power Barrel Connector Jack 2.10mm ID (0.083"), 5.50mm OD (0.217") Through Hole, Right Angle"
"LED3","Green","TopLayer","LED_1206","1045.000","2290.000","90","Green 513~528nm 1206 Light Emitting Diodes (LED) RoHS"
"LED2","Green","TopLayer","LED_1206","1290.000","2285.000","90","Green 513~528nm 1206 Light Emitting Diodes (LED) RoHS"
"J5","PPTC061LFBN-RC","TopLayer","6_PIN_ARD-Analog_100mil","200.000","450.000","270","6 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J4","PPTC081LFBN-RC","TopLayer","8_PIN_ARD-DIG_100MIL","2100.000","550.000","270","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J3","PPTC101LFBN-RC","TopLayer","10_PIN_ARDUINO_100MIL","2100.000","1510.000","270","10 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J2","PPTC081LFBN-RC","TopLayer","8_PIN_ARD-PWR_100MIL","200.000","1250.000","270","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"C11","22uF","TopLayer","1206_Passive_Capacitor","1040.000","380.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C10","22uF","TopLayer","1206_Passive_Capacitor","895.000","380.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C4","22uF","TopLayer","1206_Passive_Capacitor","1285.000","3100.000","0","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C2","22uF","TopLayer","1206_Passive_Capacitor","1630.000","2645.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
